date,close,volume,open,high,low,change
1/18/2019,266.46,124175900,264.98,266.98,262.998,0.005554305
1/17/2019,262.96,94873800,260.01,263.92,259.96,0.011218436
1/16/2019,260.98,77489420,260.83,261.9666,260.6,0.000574757
1/15/2019,260.35,84892580,257.82,260.7,257.81,0.009717688
1/14/2019,257.4,69913980,256.86,258.3,256.41,0.002097902
1/11/2019,258.98,72812270,257.68,259.0098,257.03,0.005019693
1/10/2019,258.88,96462500,256.26,259.16,255.5,0.010120519
1/9/2019,257.97,94640560,257.56,258.91,256.19,0.001589332
1/8/2019,256.77,101804900,256.82,257.31,254,-0.000194727
1/7/2019,254.38,102307400,252.69,255.95,251.69,0.006643604
1/4/2019,252.39,142444500,247.59,253.11,247.17,0.019018186
1/3/2019,244.21,142029300,248.23,248.57,243.67,-0.016461242
1/2/2019,250.18,126041700,245.98,251.21,245.95,0.016787913
12/31/2018,249.92,143399900,249.56,250.19,247.47,0.001440461
12/28/2018,247.75,152931300,249.58,251.4,246.45,-0.007386478
12/27/2018,248.07,184664900,242.57,248.29,238.96,0.022171161
12/26/2018,246.18,217567600,235.97,246.18,233.76,0.041473718
12/24/2018,234.34,147311600,239.04,240.8355,234.27,-0.020056328
12/21/2018,240.7,252779300,246.74,249.71,239.98,-0.025093477
12/20/2018,247.17,247438000,249.86,251.62,244.65,-0.010883198
12/19/2018,251.26,214312900,255.17,259.4,249.35,-0.01556157
12/18/2018,255.08,133073600,257.2,257.95,253.28,-0.008311118
12/17/2018,255.36,165088800,259.4,260.65,253.525,-0.015820802
12/14/2018,260.47,116727700,262.96,264.03,259.85,-0.009559642
12/13/2018,265.37,96168730,266.52,267.49,264.12,-0.004333572
12/12/2018,265.46,97670090,267.47,269,265.37,-0.007571762
12/11/2018,264.13,120632500,267.66,267.87,262.48,-0.013364631
12/10/2018,264.07,151022400,263.37,265.1613,258.62,0.002650812
12/7/2018,263.57,160872400,269.46,271.22,262.63,-0.022347005
12/6/2018,269.84,203716500,265.92,269.97,262.44,0.014527127
12/4/2018,270.25,176092500,278.37,278.85,269.9,-0.030046253
12/3/2018,279.3,102782300,280.28,280.4,277.505,-0.003508772
11/30/2018,275.65,95107720,273.81,276.28,273.45,0.006675132
11/29/2018,273.98,81616860,273.71,275.55,272.43,0.000985473
11/28/2018,274.58,127124600,269.6,274.58,268.3272,0.018136791
11/27/2018,268.4,75273810,266.34,268.4,265.66,0.007675112
11/26/2018,267.5,79705470,265.78,267.75,265.34,0.006429907
11/23/2018,263.25,42807880,263.18,264.8234,263.07,0.000265907
11/21/2018,265.02,73868530,265.86,267.15,265.01,-0.003169572
11/20/2018,264.12,135506200,265.36,267,263.15,-0.004694836
11/19/2018,269.1,102555300,273.05,273.38,268.07,-0.014678558
11/16/2018,273.73,126601900,271.79,274.75,271.21,0.007087276
11/15/2018,273.02,134732600,268.78,273.54,267.0102,0.015529998
11/14/2018,270.2,124389400,274.16,274.61,268.45,-0.014655811
11/13/2018,272.06,97769120,273.09,275.325,271.25,-0.00378593
11/12/2018,272.57,99129960,277.19,277.46,271.99,-0.016949774
11/9/2018,277.76,98751520,279.03,279.24,276.18,-0.004572293
11/8/2018,280.5,65315460,280.11,281.22,279.22,0.001390374
11/7/2018,281.01,102473700,277.56,281.1,277.08,0.012277143
11/6/2018,275.12,58983590,273.32,275.3,273.25,0.0065426
11/5/2018,273.39,65439740,272.44,274.01,271.35,0.003474889
11/2/2018,271.89,122439600,274.75,275.23,269.59,-0.01051896
11/1/2018,273.51,98741380,271.6,273.73,270.38,0.006983291
10/31/2018,270.63,127608600,270.65,273.23,270.12,-7.39016E-05
10/30/2018,267.77,156591000,263.67,268.12,263.12,0.015311648
10/29/2018,263.86,159000800,268.8,270.25,259.85,-0.01872205
10/26/2018,265.33,201334300,265.92,271,262.29,-0.002223646
10/25/2018,270.08,137407500,267.38,271.81,266.23,0.009997038
10/24/2018,265.32,175529100,273.33,273.76,264.7,-0.030189959
10/23/2018,273.61,145303800,270.95,274.87,268.61,0.009721867
10/22/2018,275.01,82135740,277,277.36,274.41,-0.007236101
10/19/2018,276.25,139420600,277.13,279.3,275.47,-0.00318552
10/18/2018,276.4,134193100,279.4,280.07,274.97,-0.010853835
