,,,,buy & hold result,algo result from "yesterday",algo w/ shorting
,close,predictions,to change,1000,1000,1000
0,164.8842,1,0.010258715,1010.258715,1010.258715,1010.258715
1,166.5757,1,0.019122837,1029.577728,1029.577728,1029.577728
2,169.7611,1,0.006933862,1036.716678,1036.716678,1036.716678
3,170.9382,1,-0.02557825,1010.199279,1010.199279,1010.199279
4,166.5659,1,0.009917996,1020.218432,1020.218432,1020.218432
5,168.2179,0,0.018817855,1039.416754,1020.218432,1001.02011
6,171.3834,1,-0.004675482,1034.55698,1015.448419,996.3398584
7,170.5821,1,0.009858596,1044.756259,1025.459315,1006.16237
8,172.2638,1,0.003387827,1048.295713,1028.933394,1009.571075
9,172.8474,1,0.006238451,1054.835454,1035.352344,1015.869234
10,173.9257,1,0.013763923,1069.354129,1049.602855,1029.851581
11,176.3196,1,-0.00224422,1066.954262,1047.247315,1027.540367
12,175.9239,1,-0.028340095,1036.716678,1017.568226,998.4197755
13,170.9382,0,-0.040972117,994.2402001,1017.568226,1039.327148
14,163.9345,0,-0.002896279,991.3606034,1017.568226,1042.337329
15,163.4597,0,-0.013919027,977.5618282,1017.568226,1056.84565
16,161.1845,0,0.004357119,981.8211812,1017.568226,1052.240848
17,161.8868,0,0.003483298,985.2411571,1017.568226,1048.57558
18,162.4507,0,-0.011570279,973.8416416,1017.568226,1060.707892
19,160.5711,0,0.018112848,991.4806877,1017.568226,1041.495451
20,163.4795,1,0.023235941,1014.518674,1041.212382,1065.695578
21,167.2781,1,0.04417494,1059.334976,1087.207876,1112.772616
22,174.6676,1,0.001812586,1061.255111,1089.178533,1114.789611
23,174.9842,1,0.039233256,1102.891605,1131.910554,1158.526438
24,181.8494,1,0.007235108,1110.871145,1140.100049,1166.908502
25,183.1651,1,0.004806593,1116.21065,1145.580045,1172.517356
26,184.0455,1,0.007041194,1124.070105,1153.646296,1180.773277
27,185.3414,1,0.014303874,1140.148662,1170.147907,1197.662909
28,187.9925,1,-0.003803875,1135.811679,1165.696811,1193.107149
29,187.2774,1,-0.002332903,1133.16194,1162.977353,1190.323746
30,186.8405,1,-0.009088501,1122.863197,1152.407633,1179.505488
31,185.1424,1,0.009332816,1133.342673,1163.162842,1190.513596
32,186.8703,1,-0.006323637,1126.175825,1155.807422,1182.98522
33,185.6886,1,-0.003636734,1122.080224,1151.604058,1178.683017
34,185.0133,1,0.007084896,1130.030045,1159.763053,1187.033864
35,186.3241,1,-0.002504775,1127.199574,1156.858107,1184.060611
36,185.8574,1,0.006411367,1134.426464,1164.275149,1191.652058
37,187.049,1,-0.001114681,1133.16194,1162.977353,1190.323746
38,186.8405,1,0.002285372,1135.751637,1165.635189,1193.044078
39,187.2675,0,-0.003606072,1131.656035,1165.635189,1197.34628
40,186.5922,1,-0.002128706,1129.247072,1163.153894,1194.797482
41,186.195,1,-0.003359918,1125.452894,1159.245792,1190.78306
42,185.5694,1,0.018034223,1145.749562,1180.151889,1212.257907
43,188.916,1,0.008357683,1155.325374,1190.015224,1222.389574
44,190.4949,1,0.007715167,1164.238902,1199.196391,1231.820514
45,191.9646,1,0.003465743,1168.273855,1203.352497,1236.089688
46,192.6299,1,-0.002680788,1165.14196,1200.126564,1232.775993
47,192.1135,1,-0.009097226,1154.5424,1189.208741,1221.561151
48,190.3658,1,-0.002451596,1151.711929,1186.293282,1218.566376
49,189.8991,1,0.005490811,1158.035761,1192.806994,1225.257294
50,190.9418,1,-0.008217164,1148.519992,1183.005503,1215.189154
51,189.3728,1,0.000524363,1149.122232,1183.625827,1215.826354
52,189.4721,1,-0.010272753,1137.317584,1171.466732,1203.33647
53,187.5257,1,-0.000529527,1136.715343,1170.846408,1202.699271
54,187.4264,0,-0.016159943,1118.346088,1170.846408,1222.134823
55,184.3976,1,0.004362313,1123.224663,1175.954006,1227.466157
56,185.202,0,-0.005576614,1116.960873,1175.954006,1234.311262
57,184.1692,1,-0.002911453,1113.708894,1172.530271,1230.717622
58,183.633,1,-0.01487151,1097.146361,1155.092976,1212.414993
59,180.9021,0,0.012406158,1110.757732,1155.092976,1197.373581
60,183.1464,0,-0.001463856,1109.131742,1155.092976,1199.126364
61,182.8783,1,0.007275877,1117.201648,1163.49729,1207.85106
62,184.2089,1,-0.002101961,1114.853333,1161.051664,1205.312203
63,183.8217,1,0.011182575,1127.320265,1174.035211,1218.790698
64,185.8773,1,-0.017416866,1107.685879,1153.587197,1197.563184
65,182.6399,1,0.008046982,1116.599407,1162.870093,1207.199953
66,184.1096,1,0.013862395,1132.078149,1178.990257,1223.934636
67,186.6618,1,0.013885005,1147.79706,1195.360543,1240.928974
68,189.2536,1,-0.001206846,1146.411845,1193.917927,1239.431364
69,189.0252,1,-0.012976048,1131.535951,1178.425591,1223.348443
70,186.5724,1,0.016766145,1150.507447,1198.183246,1243.859281
71,189.7005,1,0.00157037,1152.31417,1200.064837,1245.812601
72,189.9984,1,-0.002195282,1149.784515,1197.430356,1243.077691
