,,,,buy & hold result,algo result from "yesterday",algo w/ shorting
,close,predictions,to change,1000,1000,1000
0,895,0,0.000335196,1000.335196,1000,999.6648045
1,895.3,1,-0.000335083,1000,999.6649168,999.3298336
2,895,0,0.001486034,1001.486034,999.6649168,997.8447959
3,896.33,0,-0.001483829,1000,999.6649168,999.3254265
4,895,0,0,1000,999.6649168,999.3254265
5,895,0,-0.001296089,998.7039106,999.6649168,1000.620642
6,893.84,1,-0.00695874,991.7541899,992.7085087,993.6575829
7,887.62,1,-0.001273067,990.4916201,991.444724,992.3925899
8,886.49,0,0.008539295,998.9497207,991.444724,983.9182564
9,894.06,1,-0.001554706,997.396648,989.9033194,982.3885533
10,892.67,1,0.000358475,997.7541899,990.2581751,982.7407151
11,892.99,1,-0.000111983,997.6424581,990.1472827,982.6306645
12,892.89,1,0.000123195,997.7653631,990.2692644,982.7517202
13,893,0,0.000660694,998.424581,990.2692644,982.1024217
14,893.59,1,0.000559541,998.9832402,990.8233604,982.651948
15,894.09,0,0,998.9832402,990.8233604,982.651948
16,894.09,0,0.000458567,999.4413408,990.8233604,982.2013365
17,894.5,1,-0.002794857,996.6480447,988.0541503,979.4562237
18,892,0,-0.001378924,995.273743,988.0541503,980.8068192
19,890.77,0,0.001380828,996.6480447,988.0541503,979.4524939
20,892,0,0.004910314,1001.541899,988.0541503,974.6430747
21,896.38,1,0.00147259,1003.01676,989.5091487,976.0783241
22,897.7,0,0.001448145,1004.469274,989.5091487,974.6648209
23,899,0,0,1004.469274,989.5091487,974.6648209
24,899,0,0.003337041,1007.821229,989.5091487,971.4123242
25,902,0,0.005177384,1013.039106,989.5091487,966.38295
26,906.67,0,-0.002944842,1010.055866,989.5091487,969.2287952
27,904,1,-0.004413717,1005.597765,985.1417356,964.9508938
28,900.01,1,6.66659E-05,1005.664804,985.2074109,965.0152231
29,900.07,0,0.006388392,1012.089385,985.2074109,958.8503276
30,905.82,1,-0.000916297,1011.162011,984.3046685,957.9717361
31,904.99,0,1.10498E-05,1011.173184,984.3046685,957.9611506
32,905,0,-2.20994E-05,1011.150838,984.3046685,957.9823211
33,904.98,0,0,1011.150838,984.3046685,957.9823211
34,904.98,1,2.20999E-05,1011.173184,984.3264216,958.0034924
35,905,0,-0.000751381,1010.413408,984.3264216,958.7233182
36,904.32,1,0.000475495,1010.893855,984.7944643,959.1791868
37,904.75,0,-8.84222E-05,1010.804469,984.7944643,959.2639995
38,904.67,1,-0.003835653,1006.927374,981.0171346,955.5845959
39,901.2,0,-0.00021083,1006.715084,981.0171346,955.7860618
40,901.01,0,-0.000133184,1006.581006,981.0171346,955.9133571
41,900.89,0,-0.002142326,1004.424581,981.0171346,957.961235
42,898.96,0,-0.000500578,1003.921788,981.0171346,958.4407698
