date,open,high,low,close,volume,change
12/15/2018,3247.8,3282.3,3177,3200.8,359110,0.014683829
12/14/2018,3315.4,3336.6,3199.1,3247.8,445560,0.020783299
12/13/2018,3466.2,3474.4,3284.8,3315.3,435890,0.04548608
12/12/2018,3390.2,3510.2,3379.4,3466.1,391170,-0.016848908
12/11/2018,3460.4,3485.9,3349.9,3407.7,418530,0.015494322
12/10/2018,3566.9,3622.4,3412.7,3460.5,394490,0.030920387
12/9/2018,3430.3,3677.6,3424.2,3567.5,327930,-0.038430273
12/8/2018,3422.3,3507.7,3302.9,3430.4,424400,-0.002390392
12/7/2018,3508.9,3626.6,3251.8,3422.2,639330,0.025246917
12/6/2018,3771.4,3887.2,3505.7,3508.6,467540,0.074958673
12/5/2018,3958.1,3974.1,3765.2,3771.6,341600,0.049554566
12/4/2018,3899.9,4082.9,3809.3,3958.5,326710,-0.015334091
12/3/2018,4160.3,4177,3839.9,3897.8,355100,0.067371338
12/2/2018,4196.2,4316.1,4105.3,4160.4,298630,0.008604942
12/1/2018,4038.7,4299.1,3967.1,4196.2,316300,-0.037295648
11/30/2018,4296.8,4340.6,3954.5,4039.7,444520,0.063569077
11/29/2018,4265.5,4440.1,4140.6,4296.5,414460,-0.00723845
11/28/2018,3866.4,4391.8,3866.4,4265.4,533040,-0.093519951
11/27/2018,3840.3,3920.6,3687.8,3866.5,457270,-0.007629639
11/26/2018,4061,4179,3679.8,3837,571040,0.058691686
11/25/2018,3920.3,4198.4,3634.2,4062.2,619950,-0.034907193
11/24/2018,4397.3,4494.6,3821.5,3920.4,382720,0.121824304
11/23/2018,4360.9,4455.6,4223.7,4398,348990,-0.009549795
11/22/2018,4646.4,4695.7,4346.7,4356,261850,0.06489899
11/21/2018,4523,4743.7,4393,4638.7,412740,-0.024597409
11/20/2018,4883.6,5013.4,4272.3,4524.6,714080,0.079388233
11/19/2018,5660.4,5662.5,4831.1,4883.8,478260,0.158585528
11/18/2018,5621,5727.9,5615.5,5658.3,158680,-0.006450701
11/17/2018,5636.2,5645.5,5561.4,5621.8,156510,0.002561457
11/16/2018,5723.5,5747.7,5539.7,5636.2,224120,0.014673007
11/15/2018,5854,5878.5,5384.1,5718.9,375860,0.021595062
11/14/2018,6428.9,6453.3,5619.2,5842.4,438210,0.100438176
11/13/2018,6435,6466.8,6386.7,6429.2,137600,0.000902134
11/12/2018,6445,6475.9,6409.4,6435,130160,0.001724942
11/11/2018,6427.1,6451.7,6359,6446.1,127400,-0.002947519
11/10/2018,6411.9,6461.7,6411.7,6427.1,115870,-0.002349427
11/9/2018,6473.8,6496.1,6390,6412,151600,0.00966937
11/8/2018,6565.3,6577.3,6466.3,6474,159300,0.014102564
11/7/2018,6503.1,6594.3,6502,6565.3,170760,-0.009519748
11/6/2018,6460.4,6509.6,6441.6,6502.8,154870,-0.006627914
11/5/2018,6478.2,6489.2,6431.7,6459.7,128510,0.00286391
11/4/2018,6386.2,6508.9,6359.7,6478.2,128760,-0.014201476
11/3/2018,6424.5,6429.5,6346.2,6386.2,112840,0.006028624
11/2/2018,6400.5,6444.3,6390.9,6424.7,135870,-0.003766713
11/1/2018,6365.9,6421.8,6354.2,6400.5,124160,-0.005405828
10/31/2018,6327.9,6405.7,6257.8,6365.9,129060,-0.006314897
